Song Name,Lyrics,Composer,Lyricist,Singer,Album,Year,Metaphor,Source Domain,Target Domain,Type of Metaphor,Interpretation
என்ன என்ன,என்ன என்ன அது என்ன என்ன அது என்ன என்ன அது என்ன என்ன  ஏலேலே லேலே ஏலேலேலே லேலே.  என்ன என்ன அது என்ன என்ன அது என்ன என்ன அது என்ன என்ன  ஏலேலே லேலே ஏலேலேலே லேலே..  கெட்டிமேள கெட்டிமேள சத்தத்தில பூக்கும் பூ என்ன என்ன அது என்ன என்ன அது என்ன என்ன  ம்ம் என்ன என்ன  கெட்டிமேள கெட்டிமேள சத்தத்தில பூக்கும் பூ என்ன என்ன அது என்ன என்ன அது என்ன என்ன  ம்ம் மல்லியப்பூ இல்ல இல்ல மலைப்புதான் இல்ல இல்ல மழலைப்பூ இல்ல இல்ல  பட்டுப்பொண்ணு வெக்கத்துல கட்டிலுக்கு சேர்த்துவைக்கும் புல்லரிப்பு அஹ அஹா பொன்சிரிப்பு ஒஹொ. ஒஹோ மைய்யணைப்பு ஆமாஆமா  பூவோட அழகெல்லாம் வேருக்குத் தெரியாது பூங்காற்றைச் சேராமல் புல்லாங்குழல் பாடாது  கெட்டிமேள கெட்டிமேள சத்தத்தில பூக்கும் பூ என்ன என்ன அது என்ன என்ன அது என்ன என்ன.  ஹோ ஹோ .ஹோ ஹோ  சூரியன ஆறவெச்சு ஒஹொ நெத்திப்பொட்டா வெச்சிக்கிட்டா ஆஹா சுத்திவரும் பூமியத்தான் மூக்குத்தியா ஆக்கிக்கிட்டா ம்ம் ம்ம்  சுத்திவரும் பூமியத்தான் மூக்குத்தியா ஆக்கிக்கிட்டா ம்ம் ம்ம்  நட்சத்திரப் பூவையெல்லாம் கூந்தலிலே சூடிக்கிட்டா நட்சத்திரப் பூவையெல்லாம் கூந்தலிலே சூடிக்கிட்டா  நந்தவனத் தேனையள்ளி ஒதட்டுக்குள் ஒளிச்சுக்கிட்டா ஆஅ  செந்தூரப் பூஞ்சாறு நெஞ்சில் ஊஞ்சல் ஆடு சில்லென்ற பன்னீரில் கண்கள் மிதந்தாட ஆஅ  கெட்டிமேள கெட்டிமேள சத்தத்தில பூக்கும் பூ என்ன என்ன அது என்ன என்ன அது என்ன என்ன (2)  ஒஹொஹோ ஒஹொ ஓஹோஹோ ஓ ஹோஹோ ஒஹொஹொ ஒஹொஹொ ஹொ ஒஹொஹோ ஒஹொ ஓஹோஹோ ஓ ஹோஹோ (2)  என்னுடைய கிழக்கினில் சூரியன்கள் கொட்டி வைத்தாய் எட்டு லட்ச நரம்பிலும் மின்சாரத்தை விட்டு வைத்தாய் எட்டு லட்ச நரம்பிலும் மின்சாரத்தை விட்டு வைத்தாய்.  அமிலத்தை எனக்குள்ளே அமுதமாய் ஊற்றிவிட்டாய் காதலின் விஷம் தந்து ஆயுளைக் கூட்டிவிட்டாய்  செந்தூரப் பூஞ்சாறு நெஞ்சில் ஊஞ்சல் ஆடு சில்லென்ற பன்னீரில் கண்கள் மிதந்தாட  கெட்டிமேள கெட்டிமேள சத்தத்தில பூக்கும் பூ என்ன என்ன அது என்ன என்ன அது என்ன என்ன  ஹோ ஹோ .ஹோ ஹோ பூவோட அழகெல்லாம் வேருக்குத் தெரியாது பூங்காற்றைச் சேராமல் புல்லாங்குழல் பாடாது  கெட்டிமேள கெட்டிமேள சத்தத்தில பூக்கும் பூ என்ன என்ன அது என்ன என்ன அது என்ன என்ன (2)  அது என்ன என்ன அது என்ன என்ன அது என்ன என்ன (2),ஏ. ஆர். ரஹ்மான்,இளைய கம்பன்,சங்கர் மகாதேவன்,உதயா,2004,நட்சத்திரப் பூவையெல்லாம்,நட்சத்திரம்,பூ,குணம் சார்,நட்சத்திரம் சார் ஒப்பீடு
சிலுக்கு மரமே,சிலுக்கு மரமே சிலுக்கு மரமே சில்லென்று பூக்கவா வா வா வா வா வா சீனி பழமே சீனி பழமே செவ்வாயில் சேரவா வா வா வா வா வா தொட்டு தொட்டு பயம் விட்டு போச்சு தொட்ட இடம் குளிா் விட்டு போச்சு ஆசைகளும் துளிா் விட்டு போச்சு ஆடைகளும் வழி விட்டு போச்சு கல்யாண பேச்சு கை கூடி போச்சு ஆனந்தம் பாய்போட அங்கங்க வாயாட வா வா வா வா வா பெண் : நீ வா வா வா வா வா வா சிலுக்கு மரமே சிலுக்கு மரமே சில்லென்று பூக்கவா வா வா வா வா வா .. என்னை எல்லாரும் எதுக்கு வல்லூறு தூக்க எவ்வாறு நீ தடுப்ப உன்ன ரெண்டாக மடிச்சி கையோடு எடுத்து பையோடு மறைச்சிக்குவேன் நான் வைகை ஆத்தில் வெள்ளத்தோடு போனா நீ என்ன செய்து என்னை மீட்பாய் மன்னா நான் நீா்க்கோழி போல நீந்துவேன் உன்ன நெஞ்சோடு சேந்து ஏந்துவேன் அட என் ஆசை பெண்ணே அஞ்சாதே கண்ணே அம்பாாி சாஞ்சாளும் கொம்பானை சாயாது வா வா வா வா வா வா நீ வா வா வா வா வா வா சிலுக்கு மரமே சிலுக்கு மரமே சில்லென்று பூக்கவா என்ன கத்தாழன் காட்டில் சித்தானை மறச்சா அப்போது என்ன பண்ணுவ உன்ன செந்தூக்க தூக்கி செங்குன்றில் ஏறி சித்தானை கீழ தள்ளுவேன் ஒரு சிங்கம் என்ன கவ்விக்கொண்டு போனா நீ என்ன செஞ்சு என்னை மீட்பாய் வீரா நான் பாயும் புலியாய் மாறுவேன் அந்த பாதாளம் வரையும் சீறுவேன் அடி என் மஞ்சி கிளியே மஞ்சத்தில் சோ்ப்பேன் வோ்வைக்குள் நீராட போா்வைக்குள் போராடவா நீ வா வா வா வா வா வா சிலுக்கு மரமே சிலுக்கு மரமே சில்லென்று பூக்கவா வா வா வா வா வா சீனி பழமே சீனி பழமே செவ்வாயில் சேரவா வா வா வா வா வா தொட்டு தொட்டு பயம் விட்டு போச்சு தொட்ட இடம் குளிா் விட்டு போச்சு ஆசைகளும் துளிா் விட்டு போச்சு ஆடைகளும் வழி விட்டு போச்சு கல்யாண பேச்சு கை கூடி போச்சு ஆனந்தம் பாய்போட அங்கங்க வாயாட வா வா வா வா வா நீ வா வா வா வா வா வா சிலுக்கு மரமே ..,இமான்,வைரமுத்து,திவ்ய குமார்,பாயும் புலி,2015,சிலுக்கு மரமே சிலுக்கு மரமே சில்லென்று பூக்கவா,சிலுக்கு மரம்,பெண்,பண்பு சார்,பெண்ணின் அழகு
இதுவரை இல்லாத,ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம் ஹ்ம்ம் இதுவரை இல்லாத உணர்விது இதயத்தில் உண்டான கனவிது பலித்திடும் அந்நாளை தேடிடும் பாடல் கேட்டாயோ  இதுவரை இல்லாத உணர்விது இதயத்தில் உண்டான கனவிது பலித்திடும் அந்நாளை தேடிடும் பாடல் கேட்டாயோ  மூடாமல் மூடி மறைத்தது தானாக பூத்து வருகுது தேடாமல் தேடி கிடைத்தது இங்கே மூடாமல் மூடி மறைத்தது தானாக பூத்து வருகுது தேடாமல் தேடி கிடைத்தது இங்கே  இங்கே ஒரு இன்பம் வந்து நிறைய எப்போது என் உண்மை நிலை அறிய தாங்காமலும் தூங்காமலும் நாள் செல்லுதே  இல்லாமலே நித்தம் வரும் கனவு கொல்லாமல் கொள்ள சுகம் என்னென்று சொல்ல நீ துணை வர வேண்டும் நீண்ட வழி என் பயணம் ஓ.  அங்கே அங்கே வந்து வந்து கலக்கும் வெண்மேகமும் வெண்ணிலவும் போல எந்தன் மன எண்ணங்களை யார் அறிவார்  என் நெஞ்சமோ உன் போல அல்ல ஏதோ ஓர் மாற்றம் நிலை புரியாத தோற்றம்  இது நிரந்தரம் அல்ல மாறிவிடும் மன நிலை தான் ஓஓ  மனதிலே முன்னூறு உணர்வுகள் மலர்ந்ததே முத்தான உணர்வுகள் திறந்ததே தன்னாலே கதவுகள் நமக்கு முன்னாலே (2)  தேகம் இப்போது உணர்ந்தது தென்றல் என் மீது படர்ந்தது மோகம் முன்னேறி வருகுது முன்னே (2),யுவன் ஷங்கர் ராஜா,கங்கை அமரன்,யுவன் ஷங்கர் ராஜா,கோவா,2010,வந்து வந்து கலக்கும்வெண்மேகமும்வெண்ணிலவும் போலஎந்தன் மன எண்ணங்களையார் அறிவார்,வெண்மேகமும் வெண்ணிலவும் போல,மன எண்ணங்கள்,தொழில் சார்,மாறி மாறி தோன்றும் நிலை/ குழப்பமான மனநிலை
ஊதா கலரு ரிப்பன்,ஊதா ஊதா ஊதா கலரு ரிப்பன் உனக்கு யாரு அப்பன் ஊதா கலரு ரிப்பன் உனக்கு யாரு அப்பன் ஊதா கலரு ரிப்பன் உனக்கு யாரு அப்பன் ஏய் சொல்லடி அவனுக்கு நான் சலாம் போடனும் நீ சொல்லடி அவனுக்கு நான் சலாம் போடனும். ரோஜா ரோஜா ரோஜா கலரு பொம்மி உனக்கு யாரு மம்மி ரோஜா கலரு பொம்மி உனக்கு யாரு மம்மி ஹே நில்லடி அவளுக்கு நான் சபாஷ் போடனும் ஹே நில்லடி அவளுக்கு நான் சபாஷ் போடனும் ஊதா ஊதா மத்தவங்க நடந்து போனா வீதி வெறும் வீதி நீ தெருவில் நடந்து போனா எனக்கு செய்தி தலைப்பு செய்தி மத்தவங்க சிாிப்ப பாத்தா ஒகே வெறும் ஒகே நீ சிாிச்சு பேசும் போது எனக்கு வந்துடுதே சீக்கே மத்தவங்க அழகு எல்லாம் மொத்ததுல போரு போரு சிங்காாி உன் அழகு தானே போதை ஏத்தும் பீரு பீரூ குளிங்கான பீரு ஊதா ஊதா மத்தவங்க உரசி போனா ஜாலி செம ஜாலி நீ உரசி போன பிறகு பாத்தா காலி ஐ எம் காலி மத்தவங்க கடந்து போனா தூசி வெறும் தூசி நீ கடந்து போன பிறகும் குளிரு ஏசி விண்டோ ஏசி மத்தவங்க கண்ணுக்கெல்லாம் சீமாட்டி நீ சேட்டை சேட்டை என்னோடய கண்ணுக்கு நீ எப்போவுமே காதல் கோட்டை நிப்பாட்டுறேன் பாட்ட ஊதா ஊதா ஊதா கலரு ரிப்பன் உனக்கு யாரு அப்பன் ஊதா கலரு ரிப்பன் உனக்கு யாரு அப்பன் நீ சொல்லடி அவனுக்கு நான் சலாம் போடனும் நீ சொல்லடி அவனுக்கு நான் சலாம் போடனும் ஊதா ஊதா ஊதா ஊதா,இமான்,யுக பாரதி,ஹரிஹர சுதன்,வருத்தப்படாத வாலிபர் சங்கம்,2013,ரோஜா கலரு பொம்மி,பொம்மி,பெண்,பண்பு சார்,பெண்ணின் தோற்றம்
முழுமதி அவளது முகமாகும்,முழுமதி அவளது முகமாகும் மல்லிகை அவளது மணமாகும் மின்னல்கள் அவளது விழியாகும் மௌனங்கள் அவளது மொழியாகும்  மார்கழி மாதத்து பனித்துளி அவளது குரலாகும் மகரந்த காட்டின் மான்குட்டி அவளது நடையாகும்  அவளை ஒரு நாள் நான் பார்த்தேன் இதயம் கொடு என வரம் கேட்டேன் அதை கொடுத்தாள் உடனே எடுத்தே சென்றுவிட்டாள்  ஓஹோ முழுமதி அவளது முகமாகும் மல்லிகை அவளது மணமாகும் மார்கழி மாதத்து பனித்துளி அவளது குரலாகும் மகரந்த காட்டின் மான்குட்டி அவளது நடையாகும்  கால்தடமே பதியாத கடல்தீவு அவள்தானே அதன் வாசனை மணலில் பூச்செடி ஆக நினைத்தேன்  கேட்டதுமே மறக்காத மெல்லிசையும் அவள்தானே அதன் பல்லவி சரணம் புரிந்தும் மௌனத்தில் இருந்தேன்  ஒரு கரையாக அவளிருக்க மறுகரையாக நான் இருக்க இடையில் தனிமை தளும்புதே நதியாய்  கானல் நீரில் மீன் பிடிக்க கைகள் நினைத்தால் முடிந்திடுமா நிகழ்காலம் நடுவே வேடிக்கை பார்க்கிறதே  ஓஹோ முழுமதி அவளது முகமாகும் மல்லிகை அவளது மணமாகும் மார்கழி மாதத்து பனித்துளி அவளது குரலாகும் மகரந்த காட்டின் மான்குட்டி அவளது நடையாகும்  அமைதியுடன் அவள் வந்தாள் விரல்களை நான் பிடித்து கொண்டேன் பல வானவில் பார்த்தே வழியில் தொடர்ந்தது பயணம்  உறக்கம் வந்தே தலைகோத மரத்தடியில் இளைப்பாறி கண் திறந்தேன் அவளும் இல்லை கசந்தது நிமிடம்  அருகில் இருந்தால் ஒரு நிமிடம் தொலைவில் தெரிந்தால் மறு நிமிடம் கண்களில் மறையும் பொய்மான் போல் ஓடுகிறாள்  அவளுக்கும் எனக்கும் நடுவினிலே திரையொன்று தெரிந்தது எதிரினிலே முகம் மூடி அணிந்தால் முகங்கள் தெரிந்திடுமா  ஓஹோ முழுமதி அவளது முகமாகும் மல்லிகை அவளது மணமாகும் மார்கழி மாதத்து பனித்துளி அவளது குரலாகும் மகரந்த காட்டின் மான்குட்டி அவளது நடையாகும்,ஏ. ஆர். ரஹ்மான்,நா முத்துக்குமார்,ஸ்ரீனிவாஷ்,ஜோதா அக்பர்,2008,முழுமதி அவளது முகமாகும்,முழுமதி,பெண்ணின் முகம்,குணம் சார்,பெண்ணின் உடல்/ முகம்  சார் வர்ணணை
இளங்காத்து வீசுதே,இளங்காத்து வீசுதே இசை போல பேசுதே வளையாத மூங்கிலில் ராகம் வளைஞ்சு ஓடுதே மேகம் முழிச்சு கேக்குதே  கரும்பாறை மனசுல மயில் தோகை விரிக்குதே மழைச்சாரல் தெளிக்குதே புல்வெளி பாதை விரிக்குதே வானவில் குடையும் புடிக்குதே புல்வெளி பாதை விரிக்குதே வானவில் குடையும் புடிக்குதே  மணியின் ஓசை கேட்டு மனக்கதவு திறக்குதே புதிய தாளம் போட்டு உடல் காற்றில் மிதக்குதே  இளங்காத்து வீசுதே இசை போல பேசுதே வளையாத மூங்கிலில் ராகம் வளைஞ்சு ஓடுதே மேகம் முழிச்சு கேக்குதே  பின்னிப் பின்னிச் சின்ன இழையோடும் நெஞ்சை அள்ளும் வண்ணத் துணி போல ஒன்னுக்கொன்னு தான் இணைஞ்சி இருக்கு உறவு எல்லாம் அமைஞ்சி இருக்கு அள்ளி அள்ளித் தந்து உறவாடும் அன்னமடி இந்த நிலம் போல சிலருக்குத் தான் மனசு இருக்கு உலகம் அதில் நிலைச்சு இருக்கு நேத்து தனிமையில போச்சு யாரும் துணை இல்ல யாரோ வழித்துணைக்கு வந்தால் ஏதும் இணை இல்லை உலகத்தில் எதுவும் தனிச்சு இல்லையே குழலில் ராகம் மலரில் வாசம் சேர்ந்தது போல  இளங்காத்து வீசுதே இசை போல பேசுதே வளையாத மூங்கிலில் ராகம் வளைஞ்சு ஓடுதே மேகம் முழிச்சு கேக்குதே  மனசுல என்ன ஆகாயம் தினம்தினம் அது புதிர் போடும் ரகசியத்தை யாரு அறிஞ்சா அதிசயத்தை யாரு புரிஞ்சா விதை விதைக்கிற கை தானே மலர் பறிக்குது தினம்தோறும் மலர் தொடுக்க நாரை எடுத்து யார் தொடுத்தா மாலையாச்சு ஆலம் விழுதிலே ஊஞ்சல் ஆடும் கிளி எல்லாம் மூடும் சிறகிலே மெல்ல பேசும் கதை எல்லாம் தாலாட்டு கேட்டிடாமலே தாயின் மடியைத்தேடி ஓடும் மலைநதி போல  கரும்பாறை மனசுல மயில் தோகை விரிக்குதே மழைச்சாரல் தெளிக்குதே புல்வெளி பாதை விரிக்குதே வானவில் குடையும் புடிக்குதே புல்வெளி பாதை விரிக்குதே வானவில் குடையும் புடிக்குதே  மணியின் ஓசை கேட்டு மனக்கதவு திறக்குதே புதிய தாளம் போட்டு உடல் காற்றில் மிதக்குதே,இளையராஜா,வாலி,ஷ்ரேயா கோசல்,பிதாமகன்,2003,நிலம் போல சிலருக்குத் தான் மனசு இருக்கு,நிலம்,மனது,குணம் சார்,பரந்த நிறைந்த மனம்
சக்க போடு,சக்க போடு போட்டானே சவுக்கு கண்ணால சத்தியமா பாக்கல இதுக்கு முன்னால தாங்க தான் முடியல ஐயோ என்னால என் தாவணி நழுவுது கீழே தன்னால  சக்க போடு போட்டாலே சவுக்கு கண்ணால சத்தியமா பாக்கல இதுக்கு முன்னால தாங்க தான் முடியல ஐயோ என்னால என் தாகம் தான் கூடுது இந்த பொன்னால  கொண்டையில பூவடுக்கி கும்முன்னுதான் பேசுற கெண்டக்கால நீவுற கிச்சு கிச்சு மூட்டிகிட்டே கிறுக்கு புடிக்க வெக்குற  அஞ்சு நொடி நேரத்தில கோடி முறை பாக்குற மீனுக்குஞ்சு போல துள்ளி ஐசாலக்கடி காட்டுற  எச்சி தொட்டு கச்சிதமா உன்னை என்னை ஒட்டிக்கலாம் முத்தம் வெச்சு முத்தம் வெச்சு மூச்சு முட்ட கட்டிக்கலாம்  கொழுத்து போன பொம்பள இடுப்ப கொண்டாடி யே கொஞ்சம் நானும் ஓடினா தவிப்ப திண்டாடி  உள்ளங்கள சேர்த்து வெச்சு ஊருக்காக வாழுற பம்பரமா ஓடுற உன்னை எண்ணி ஏங்குறேனே என்ன செய்ய போகுற  உள்ளங்கையில் தூக்கி வெச்சு உத்து உத்து பார்க்கவா உருட்டி கீழ தள்ளி ஒண்டிக்கு ஒண்டி ஆடவா  ஒத்த சொல்லு சொன்னதில பத்திக்கிச்சு என் மனசு மத்தபடி கன்னத்துல முத்த கத நீ எழுது  வடிச்ச சோறு போலத்தான் ஆவி பறக்குற ஹே மடிச்ச சேலை கலைக்க தான் கூவி அழைக்கிறேன்  சக்க போடு போட்டானே சவுக்கு கண்ணால சத்தியமா பாக்கல இதுக்கு முன்னால தாங்க தான் முடியல ஐயோ என்னால என் தாகம் தான் கூடுது இந்த பொன்னால,யுவன் ஷங்கர் ராஜா,விவேகா,சந்தனா சர்க்கம்,தாஸ்,2005,சவுக்கு கண்ணால,சவுக்கு,பெண்ணின் கண்,குணம் சார்,பெண்ணின் கண் சார் உவமை/ கண்ணின் கூர்மை
அடடா மழைடா,அடடா மழைடா அட மழைடா அழகா சிாிச்சா புயல் மழைடா அடடா மழைடா அட மழைடா அழகா சிாிச்சா புயல் மழைடா  மாறி மாறி மழை அடிக்க மனசுக்குள்ள குடை பிடிக்க கால்கள் நாலாச்சு கைகள் எட்டாச்சு என்னாச்சு ஏதாச்சு ஏதேதோ ஆயாச்சு  மயில் தோக போல இவ மழையில் ஆடும் போது ரயில் பாலம் போல என் மனசும் ஆடும் பாரு என்னாச்சு ஏதாச்சு ஏதேதோ ஆயாச்சு  அடடா மழைடா அட மழைடா அழகா சிாிச்சா புயல் மழைடா    பாட்டு பாட்டு பாடாத பாட்டு மழை தான் பாடுது கேட்காத பாட்டு உன்னை என்னை சோ்த்து வச்ச மழைக்கொரு சலாம் போடு என்னை கொஞ்சம் காணலயே உனக்குள்ள தேடி பாரு  மந்திரம் போல இருக்கு புது தந்திரம் போல இருக்கு பம்பரம் போல எனக்கு தல மத்தியில் சுத்துது கிறுக்கு  தேவதை எங்கே என் தேவதை எங்கே அது சந்தோஷமா ஆடுது இங்கே உன்னப்போல வேறாறும் இல்ல என்னவிட்டா வேறாறு சொல்ல சின்ன சின்ன கண்ணு ரெண்டு கொடுத்தென்ன அனுப்பி வெச்சான்  இந்த கண்ணு போதலயே எதுக்கிவள படைச்சி வெச்சான்  பட்டாம்பூச்சி பொண்ணு நெஞ்சு படபடக்கும் நின்னு பூவும் இவளும் ஒண்ணு என்னை கொன்னுப்புட்டா கொன்னு  போவது எங்கே நான் போவது எங்கே மனம் தள்ளாடுதே போதையில் இங்கே  அடடா மழைடா அட மழைடா அழகா சிாிச்சா அனல் மழைடா அடடா மழைடா அட மழைடா அழகா சிாிச்சா அனல் மழைடா  பின்னி பின்னி மழை அடிக்க மின்னல் வந்து குடை பிடிக்க வானம் ரெண்டாச்சு பூமி துண்டாச்சு என் மூச்சு காத்தால மழ கூட சூடாச்சு  குடையை நீட்டி யாரும் இந்த மழையை தடுக்க வேணாம் அணைய போட்டு யாரும் என் மனச அடக்க வேணாம் கொண்டாடு கொண்டாடு கூத்தாடி கொண்டாடு,யுவன் ஷங்கர் ராஜா,நா முத்துக்குமார்,ராகுல் நம்பியார்,பையா,2010,மந்திரம் போல இருக்கு,மந்திரம்,காதலியுடனான பொழுதுகள்,குணம் சார்,காதலியுடனான பொழுதுகள் சார் வர்ணணை
ஸ்வாசமே ஸ்வாசமே,என்ன சொல்லி என்னைச் சொல்ல காதல் என்னைக் கையால் தள்ள (2) இதயம்தான் சரிந்ததே உன்னிடம் மெல்ல  ஸ்வாசமே ஸ்வாசமே  ஜன்னல் காற்றாகி வா ஜரிகைப் பூவாகி வா மின்னல் மழையாகி வா உயிரின் மூச்சாகி வா (2)  ஸ்வாசமே ஸ்வாசமே (2)  என்ன சொல்லி என்னைச் சொல்ல காதல் என்னைக் கையால் தள்ள (2) இதயம்தான் சரிந்ததே உன்னிடம் மெல்ல  வாசமே வாசமே வாசமே வாசமே என்ன் சொல்லி என்னைச் சொல்ல கண்கள் ரெண்டில் கண்கள் செல்ல சிறகுகள் முளைக்குதே மனசுக்குள் மெல்ல  ஜன்னல் காற்றாகி வா ஜரிகைப் பூவாகி வா மின்னல் மழையாகி வா உயிரின் மூச்சாகி வா  இடது கண்ணாலே அகிம்சைகள் செய்தாய் வலது கண்ணாலே வன்முறை செய்தாய் (2)  ஆறறிவோடு உயிரது கொண்டேன் ஏழாம் அறிவாக காதல் வரக் கண்டேன்  இயற்கையின் கோளாறில் இயங்கிய என்னை செயற்கைக் கோளாக உன்னைச் சுற்றச் வைத்தாய்  அணுசக்திப் பார்வையில் உயிர்சக்தி தந்தாய்  அணுசக்திப் பார்வையில் உயிர்சக்தி தந்தாய் ஸ்வாசமே ஸ்வாசமே  இசைத்தட்டு போலே இருந்த என் நெஞ்சை பறக்கும் தட்டாக பறந்திடச் செய்தாய்  நதிகளில்லாத அரபு தேசம் நான் நைல் நதியாக எனக்குள்ளே வந்தாய்  நிலவு இல்லாத புதன் கிரகம் நானே முழு நிலவாக என்னுடன் சேர்ந்தாய்  எனக்காக நீ கிடைத்தாய் விடிந்து விட்டேனே  வாசமே வாசமே என்ன சொல்லி என்ன சொல்லி என்னைச் சொல்ல காதல் என்னை கையால் தள்ள  ஜன்னல் காற்றாகி வா ஜரிகைப் பூவாகி வா மின்னல் மழையாகி வா உயிரின் மூச்சாகி வா (2)  ஜன்னல் காற்றாகி வா ஸ்வாசமே ஸ்வாசமே ஜரிகைப் பூவாகி வா மின்னல் மழையாகி வா உயிரின் மூச்சாகி வா,ஏ. ஆர். ரஹ்மான்,பா விஜய்,S.P பாலசுப்ரமணியம்,தெனாலி,2000,நதிகளில்லாத அரபு தேசம் நான் நைல் நதியாக எனக்குள்ளே வந்தாய்,நைல் நதி,பெண்,குணம் சார்,காதல் அற்றவனின் வாழ்வில் பெண்ணின் வருகை
வான் நிலா,வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ  பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  உன் அழகினை பாட என் தமிழ் மொழி போதாது நான் உவமைகள் சொன்னால் அது முழுமையென்றாகாது  நீ ஒரே ஒருதரம் பிறந்தவள் அவன் படைப்பினில் மிக சிறந்தவள் ஓஹோஹோ ஹோ ஓஓ ஓஓ  சிலு சிலுவென விழும் புது பனி துளியோ மழை எழுதும் முதல் கவியோ தம் தம் தம் சங் சங்கீதம் கொலுசோடு ஜல் நீலம் தொயித்த அந்த ஆகாயம் உந்தன் மேலாடும் நூலாடையோ  ஒரு சரம் சிரிக்கையில் தெரிக்கையில் புது புது கவிதைகள் புறப்படும் புலப்படும்  ரதியே ரதம்போல் நடந்தேன் நீ வரும் வழி எங்கும் குறுஞ்சி மலர்போல் குலுங்கும் கூர் நெருஞ்சி முள் என்றும்  நதிக்குள் குதிக்கும் மீன்கள் உன் நீள் விழி கண்டு நிலத்தில் வாழும் மீனோ என வியர்ப்பது உண்டு  வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  தினம் தினம் மனதினில் முதல் முகமெழுதி ரசித்திருப்பேன் உயிர் தழுவி  கா தல் தே வி என் நெஞ்சம் உன் கோயில் தான் காதல் என்னும் அந்த ஒர் தீபம் எந்தன் எண்ணங்கள் ஏற்றதோ  இடி மின்னல் மழையிலும் அடிகின்ற புயலிலும் உயிர் உள்ள வரையிலும் ஒளி விடும் விளக்கிது  என்னை தான் கணம் நீ பிரிந்தால் நீர் விழிகளும் வார்க்கும் உன்னைதான் வருத்தும் அவள் யார் என இயற்கையும் கேட்கும்  பெண்ணை அழகாய் படைத்தால் அந்த இயற்கையும் வேலை அறிந்தும் என்னையே கேட்டாய் அட இது என்ன லீலை  வான் நிலா தரும் ஒளி இவள் விழி தேன் பலா தரும் சுவை இவள் மொழி தமிழ்தானோ  பாற்புகழ் நைல் நதி இவள் நடை தாமரை மலர்கொடி இவள் இடை தமிழ் பெண்ணோ  உன் அழகினை பாட என் தமிழ் மொழி போதாது நான் உவமைகள் சொன்னால் அது முழுமையென்றாகாது  நீ ஒரே ஒருதரம் பிறந்தவள் அவன் படைப்பினில் மிக சிறந்தவள் ஓஹோஹோ ஹோ ஓஓ ஓஓ,ஏ. ஆர். ரஹ்மான்,வாலி,ஸ்ரீனிவாஷ்,காதல் வைரஸ்,2002,வான் நிலா தரும் ஒளிஇவள் விழி,வான் நிலா தரும் ஒளி,பெண்ணின் விழி,குணம் சார்,பெண்ணின் உடல்/ கண் சார் விபரிப்பு
தூவானம் தூவத்தூவ,தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் என் மேலே ஈரம் ஆக உயிா் கரைவதை நானே கண்டேன் கடவுள் வரங்கள் தரும் பல கதை கேட்டேன் அவரே வரமாய் வருவதை இங்கு பாா்த்தேன் வேறு என்ன வேண்டும் வாழ்வில் தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் குயிலென மனம் கூவும் மயிலென தரை தாவும் என்னோடு நீ நிற்கும் வேளையில் புழுதியும் பளிங்காகும் புழுக்களும் புனுகாகும் கால் வைத்து நீ செல்லும் சாலையில் யாா் தீங்கு செய்தாலும் மன்னிக்க தோன்றும் நீ தந்த இம்மாற்றம் என் வெட்கம் தூண்டும் காதல் வந்தால் கோபம் எல்லாமே காற்றோடு காற்றாக போகின்றதே தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் இரவுகள் துணை நாடும் கனவுகள் கடை போடும் நீ இல்லை என்றால் நான் காகிதம் விரல்களில் விரல் கோா்க்க உதட்டினை உவா்பாக்க நீ வந்தால் நான் வண்ண ஓவியம் நெஞ்சுக்குள் பொல்லாத ஆறேழு வீணை ரிங்காரம்தான் செய்து கொல்கின்ற ஆணை நீ தான் கை தூக்க வேண்டும் என் கண்ணே கை நீட்டு தாலாட்டு கண் மூடுவேன் தூவானம் தூவ தூவ மழை துளிகளில் உன்னை கண்டேன் என் மேலே ஈரம் ஆக உயிா் கரைவதை நானே கண்டேன் கடவுள் வரங்கள் தரும் பல கதை கேட்டேன் அவரே வரமாய் வருவதை இங்கு பாா்த்தேன் வேறு என்ன வேண்டும் வாழ்வில்,இமான்,தாமரை,விசால் டட்லணி,றோமியோ ஜூலியட்,2015,அவரே வரமாய் வருவதை இங்கு பாா்த்தேன்,வரம்,பெண்,பண்பு சார்,கிடைத்தற்கரிய பொருள்
